student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,score_category,screen_time_total,study_intensity,sleep_group
S1064,23,Male,3.2,1.7,2.1,No,80.8,5.2,Good,3,High School,Poor,4,Yes,68.6,Average,3.8,Moderate (2-4h),5-6h
S1065,18,Female,3.3,4.1,0.7,No,80.5,5.7,Poor,0,Master,Good,8,No,69.6,Average,4.8,Moderate (2-4h),5-6h
S1066,20,Male,3.6,4.2,0.9,No,67.0,5.4,Good,4,Bachelor,Average,8,No,66.5,Average,5.1000000000000005,Moderate (2-4h),5-6h
S1067,17,Male,3.3,1.8,3.2,No,81.7,5.8,Poor,0,Master,Good,2,No,62.2,Average,5.0,Moderate (2-4h),5-6h
S1068,20,Female,4.9,0.3,2.7,Yes,92.3,6.2,Good,0,Bachelor,Poor,6,No,82.1,High,3.0,High (4-6h),6-7h
S1069,22,Male,6.8,3.7,1.8,No,72.3,7.5,Poor,6,Master,Average,5,No,100.0,Excellent,5.5,Intense (>6h),7-8h
S1070,18,Female,2.7,1.7,1.3,No,95.5,6.1,Poor,2,Bachelor,Good,2,Yes,59.7,Low,3.0,Moderate (2-4h),6-7h
S1071,18,Female,1.4,3.4,0.0,No,89.9,4.6,Fair,0,High School,Poor,10,Yes,55.1,Low,3.4,Low (<2h),<5h
S1072,17,Male,3.4,0.1,0.6,No,77.7,7.9,Fair,1,High School,Average,4,Yes,77.1,High,0.7,Moderate (2-4h),7-8h
S1073,18,Female,7.4,3.6,3.9,No,83.6,5.5,Fair,3,High School,Average,7,Yes,97.7,Excellent,7.5,Intense (>6h),5-6h
S1074,21,Female,2.3,1.0,0.4,No,100.0,6.4,Fair,6,Unknown,Good,1,No,66.9,Average,1.4,Moderate (2-4h),6-7h
S1075,18,Female,6.0,3.4,2.0,Yes,92.3,7.0,Fair,0,Bachelor,Good,9,Yes,99.9,Excellent,5.4,High (4-6h),6-7h
S1076,20,Male,6.0,2.5,2.9,No,85.1,6.7,Poor,5,Bachelor,Average,10,Yes,100.0,Excellent,5.4,High (4-6h),6-7h
S1077,20,Female,2.7,1.4,0.4,No,82.6,7.8,Fair,1,Bachelor,Poor,1,No,57.2,Low,1.7999999999999998,Moderate (2-4h),7-8h
S1078,23,Female,4.4,2.0,2.0,Yes,85.8,7.1,Good,4,Master,Good,5,No,77.3,High,4.0,High (4-6h),7-8h
S1079,20,Male,5.9,3.3,2.8,Yes,79.9,5.5,Good,3,Master,Average,7,No,91.6,Excellent,6.1,High (4-6h),5-6h
S1080,23,Male,2.9,2.6,1.8,No,64.0,9.1,Good,6,High School,Good,8,No,70.7,Average,4.4,Moderate (2-4h),>8h
S1081,20,Other,3.2,3.2,5.0,No,100.0,6.7,Good,5,High School,Poor,2,No,57.6,Low,8.2,Moderate (2-4h),6-7h
S1082,21,Female,2.6,4.9,0.0,Yes,86.6,6.3,Fair,6,High School,Poor,4,No,60.2,Average,4.9,Moderate (2-4h),6-7h
S1083,24,Male,2.0,0.6,3.0,No,89.0,7.7,Poor,6,High School,Good,2,Yes,50.5,Low,3.6,Low (<2h),7-8h
S1084,23,Female,2.5,4.4,1.6,No,84.4,6.8,Fair,5,Bachelor,Average,4,No,51.3,Low,6.0,Moderate (2-4h),6-7h
S1085,19,Male,1.7,2.6,2.6,No,77.6,7.0,Good,4,Bachelor,Good,6,No,53.5,Low,5.2,Low (<2h),6-7h
S1086,22,Male,3.6,1.4,2.3,No,83.1,9.5,Good,5,Bachelor,Poor,6,No,79.2,High,3.6999999999999997,Moderate (2-4h),>8h
S1087,17,Male,2.3,0.9,1.0,No,69.0,6.2,Fair,1,Master,Average,2,Yes,47.2,Low,1.9,Moderate (2-4h),6-7h
S1088,20,Male,3.9,2.3,2.1,No,100.0,6.1,Poor,6,Bachelor,Good,4,No,73.4,Average,4.4,Moderate (2-4h),6-7h
S1089,18,Male,1.2,3.6,0.0,No,72.7,6.6,Poor,4,High School,Average,4,Yes,41.1,Low,3.6,Low (<2h),6-7h
S1090,24,Male,4.0,2.3,2.5,No,74.7,7.8,Fair,6,Bachelor,Good,1,No,77.8,High,4.8,Moderate (2-4h),7-8h
S1091,20,Female,4.8,4.3,2.1,No,80.6,4.7,Fair,5,High School,Average,2,No,63.4,Average,6.4,High (4-6h),<5h
S1092,18,Male,0.5,0.8,2.5,Yes,97.9,4.1,Poor,4,High School,Good,3,No,43.9,Low,3.3,Low (<2h),<5h
S1093,22,Male,4.1,2.5,3.0,No,85.1,5.8,Good,4,Unknown,Good,5,No,70.2,Average,5.5,High (4-6h),5-6h
S1094,22,Female,5.3,1.0,2.2,No,72.6,4.5,Fair,0,High School,Average,8,No,81.3,High,3.2,High (4-6h),<5h
S1095,22,Male,1.7,2.9,2.0,No,97.5,6.0,Good,0,High School,Good,6,No,50.2,Low,4.9,Low (<2h),5-6h
S1096,18,Female,6.0,3.6,0.8,No,92.3,7.1,Good,0,High School,Good,3,No,87.9,High,4.4,High (4-6h),7-8h
S1097,20,Male,4.1,2.0,1.0,No,90.4,5.4,Good,5,Bachelor,Average,6,No,80.9,High,3.0,High (4-6h),5-6h
S1098,22,Male,2.4,0.0,3.1,No,92.2,4.8,Good,3,Bachelor,Good,7,Yes,63.9,Average,3.1,Moderate (2-4h),<5h
S1099,21,Male,3.4,2.7,3.4,No,100.0,6.6,Good,1,High School,Good,6,No,65.6,Average,6.1,Moderate (2-4h),6-7h
S1100,23,Male,4.3,3.0,1.5,No,100.0,7.5,Good,5,Unknown,Average,10,Yes,93.2,Excellent,4.5,High (4-6h),7-8h
S1101,18,Male,3.6,3.0,1.9,No,78.1,4.5,Good,6,Bachelor,Average,6,No,74.0,Average,4.9,Moderate (2-4h),<5h
S1102,18,Male,4.3,4.0,0.8,No,100.0,7.5,Fair,0,Unknown,Average,1,No,60.8,Average,4.8,High (4-6h),7-8h
S1103,20,Male,2.1,1.2,3.1,No,88.8,7.5,Good,4,Master,Average,3,No,50.4,Low,4.3,Moderate (2-4h),7-8h
S1104,18,Male,3.8,3.3,2.5,No,90.0,7.6,Good,5,Bachelor,Good,7,No,74.3,Average,5.8,Moderate (2-4h),7-8h
S1105,18,Male,1.4,3.9,3.9,Yes,68.1,8.0,Good,4,High School,Average,4,Yes,32.8,Very Low,7.8,Low (<2h),7-8h
S1106,22,Male,3.3,0.4,0.8,No,83.3,9.1,Good,6,High School,Good,4,Yes,82.3,High,1.2000000000000002,Moderate (2-4h),>8h
S1107,20,Male,2.1,2.9,1.4,No,76.9,6.1,Fair,4,Unknown,Average,7,No,60.4,Average,4.3,Moderate (2-4h),6-7h
S1108,22,Female,2.4,1.9,2.1,No,93.3,6.6,Poor,4,High School,Average,9,Yes,60.0,Low,4.0,Moderate (2-4h),6-7h
S1109,23,Female,5.4,2.4,2.5,No,95.7,6.0,Fair,2,High School,Good,2,No,77.5,High,4.9,High (4-6h),5-6h
S1110,24,Male,5.1,2.9,1.6,No,64.3,6.5,Fair,3,Bachelor,Average,9,Yes,86.5,High,4.5,High (4-6h),6-7h
S1111,23,Female,4.4,1.9,0.8,No,84.8,8.3,Good,1,High School,Average,3,No,76.9,High,2.7,High (4-6h),>8h
S1112,24,Female,1.9,1.7,2.8,No,96.2,4.9,Fair,1,Bachelor,Poor,6,Yes,43.9,Low,4.5,Low (<2h),<5h
S1113,22,Male,3.0,2.5,2.6,No,83.1,5.5,Fair,0,Bachelor,Average,4,No,51.3,Low,5.1,Moderate (2-4h),5-6h
S1114,23,Female,5.3,1.2,0.8,No,92.3,8.2,Fair,2,High School,Average,1,No,83.3,High,2.0,High (4-6h),>8h
S1115,20,Female,3.7,1.2,3.3,No,88.5,7.7,Poor,5,Unknown,Good,9,No,82.7,High,4.5,Moderate (2-4h),7-8h
S1116,17,Male,7.0,3.3,3.1,No,88.4,6.1,Good,5,Unknown,Average,6,Yes,94.8,Excellent,6.4,Intense (>6h),6-7h
S1117,22,Male,4.1,1.1,1.9,No,82.3,7.5,Good,1,Unknown,Good,8,No,80.8,High,3.0,High (4-6h),7-8h
S1118,24,Female,3.8,3.3,1.9,No,72.8,6.9,Poor,3,Bachelor,Good,2,Yes,58.3,Low,5.199999999999999,Moderate (2-4h),6-7h
S1119,21,Female,3.0,3.1,2.4,Yes,73.8,8.3,Fair,4,High School,Average,7,No,66.3,Average,5.5,Moderate (2-4h),>8h
S1120,24,Male,3.7,0.4,0.9,No,92.1,6.6,Fair,6,Bachelor,Average,6,No,87.9,High,1.3,Moderate (2-4h),6-7h
S1121,21,Male,3.3,1.7,1.8,No,85.2,7.7,Poor,0,High School,Good,2,No,60.5,Average,3.5,Moderate (2-4h),7-8h
S1122,18,Male,4.6,3.9,0.0,No,83.6,9.7,Poor,3,High School,Good,2,No,84.8,High,3.9,High (4-6h),>8h
S1123,23,Female,4.9,1.3,2.8,No,80.8,7.2,Good,1,Bachelor,Average,4,No,77.0,High,4.1,High (4-6h),7-8h
S1124,21,Female,2.3,1.9,0.1,No,81.9,6.6,Fair,2,Bachelor,Average,4,No,61.7,Average,2.0,Moderate (2-4h),6-7h
S1125,24,Male,1.5,3.1,3.5,No,95.5,7.4,Fair,0,High School,Average,3,No,44.0,Low,6.6,Low (<2h),7-8h
S1126,18,Male,0.7,3.4,1.4,Yes,81.6,6.1,Poor,1,High School,Poor,8,No,42.4,Low,4.8,Low (<2h),6-7h
S1127,17,Female,4.3,2.2,1.6,No,71.6,9.4,Good,5,Bachelor,Good,7,No,88.0,High,3.8000000000000003,High (4-6h),>8h
S1128,20,Male,1.8,1.8,1.1,No,92.4,6.7,Good,0,High School,Good,2,No,48.7,Low,2.9000000000000004,Low (<2h),6-7h
S1129,20,Male,0.3,4.2,1.5,No,83.0,6.2,Good,1,High School,Average,3,Yes,26.8,Very Low,5.7,Low (<2h),6-7h
S1130,20,Female,4.1,4.6,3.4,No,85.3,5.5,Poor,5,Bachelor,Good,10,No,81.6,High,8.0,High (4-6h),5-6h
S1131,21,Female,7.2,3.7,0.0,No,100.0,7.8,Good,6,High School,Good,9,No,100.0,Excellent,3.7,Intense (>6h),7-8h
S1132,17,Female,3.5,2.6,3.2,Yes,84.8,7.5,Fair,5,Bachelor,Average,5,Yes,74.0,Average,5.800000000000001,Moderate (2-4h),7-8h
S1133,21,Female,4.8,1.5,2.2,No,87.9,5.9,Fair,4,Bachelor,Poor,2,Yes,78.4,High,3.7,High (4-6h),5-6h
S1134,23,Male,3.6,1.5,0.5,No,73.2,7.2,Fair,2,Bachelor,Good,3,No,70.7,Average,2.0,Moderate (2-4h),7-8h
S1135,21,Male,3.4,3.1,0.6,No,82.8,4.7,Fair,4,Bachelor,Good,8,No,74.3,Average,3.7,Moderate (2-4h),<5h
S1136,17,Female,4.9,3.0,3.6,No,91.1,6.7,Good,1,Bachelor,Good,4,No,67.6,Average,6.6,High (4-6h),6-7h
S1137,17,Male,3.1,4.2,0.8,No,69.4,7.0,Good,6,Bachelor,Poor,2,No,64.7,Average,5.0,Moderate (2-4h),6-7h
S1138,23,Male,3.9,3.3,0.5,No,87.0,8.5,Fair,3,Master,Average,2,No,64.1,Average,3.8,Moderate (2-4h),>8h
S1139,17,Male,4.0,0.7,3.1,No,86.0,5.6,Good,6,High School,Poor,6,No,83.5,High,3.8,Moderate (2-4h),5-6h
S1140,24,Male,2.5,3.8,2.2,No,85.4,5.0,Good,6,High School,Good,8,No,63.4,Average,6.0,Moderate (2-4h),<5h
S1141,17,Male,5.0,1.3,0.8,No,95.4,5.4,Good,6,Bachelor,Good,7,No,96.2,Excellent,2.1,High (4-6h),5-6h
S1142,20,Male,3.2,2.0,2.0,No,88.3,4.9,Fair,4,Bachelor,Poor,4,Yes,65.4,Average,4.0,Moderate (2-4h),<5h
S1143,24,Male,2.4,2.8,0.7,No,99.8,8.1,Fair,3,Unknown,Good,2,No,62.0,Average,3.5,Moderate (2-4h),>8h
S1144,24,Male,4.3,4.9,3.0,No,75.1,8.4,Fair,5,Master,Good,9,Yes,74.0,Average,7.9,High (4-6h),>8h
S1145,23,Female,2.2,6.2,3.0,No,86.4,6.9,Good,1,Unknown,Good,4,No,46.7,Low,9.2,Moderate (2-4h),6-7h
S1146,19,Female,3.5,3.2,2.4,No,85.8,8.0,Poor,2,Bachelor,Good,9,No,75.5,High,5.6,Moderate (2-4h),7-8h
S1147,19,Female,3.5,2.3,2.2,No,74.3,6.7,Fair,3,Bachelor,Poor,5,Yes,78.1,High,4.5,Moderate (2-4h),6-7h
S1148,17,Female,5.1,3.1,3.7,No,94.6,6.4,Fair,1,Master,Good,7,No,85.2,High,6.800000000000001,High (4-6h),6-7h
S1149,24,Female,4.2,3.6,1.8,Yes,100.0,6.1,Fair,3,Unknown,Poor,5,No,75.4,High,5.4,High (4-6h),6-7h
S1150,19,Male,3.5,2.1,0.5,Yes,84.8,6.1,Good,4,Bachelor,Average,2,No,64.2,Average,2.6,Moderate (2-4h),6-7h
S1151,19,Female,4.7,4.7,2.3,No,90.1,4.6,Good,1,High School,Good,6,No,69.7,Average,7.0,High (4-6h),<5h
S1152,17,Female,5.6,2.8,4.1,No,85.8,6.8,Good,4,High School,Good,7,No,90.3,Excellent,6.8999999999999995,High (4-6h),6-7h
S1153,19,Female,4.3,3.1,0.7,No,77.9,6.5,Good,0,Unknown,Average,6,No,81.4,High,3.8,High (4-6h),6-7h
S1154,21,Male,3.5,3.3,1.4,No,66.8,7.4,Fair,1,Bachelor,Good,3,No,65.0,Average,4.699999999999999,Moderate (2-4h),7-8h
S1155,18,Male,1.5,3.0,2.3,No,77.9,6.6,Fair,3,High School,Good,10,No,57.3,Low,5.3,Low (<2h),6-7h
S1156,23,Male,1.9,3.5,1.7,Yes,71.1,6.3,Fair,0,High School,Good,8,No,57.7,Low,5.2,Low (<2h),6-7h
S1157,18,Male,3.0,1.8,0.7,No,100.0,5.5,Poor,4,Bachelor,Poor,3,No,56.7,Low,2.5,Moderate (2-4h),5-6h
S1158,17,Female,2.6,1.8,3.0,No,83.8,6.6,Fair,4,Bachelor,Good,5,Yes,62.3,Average,4.8,Moderate (2-4h),6-7h
S1159,20,Female,3.2,1.2,4.4,No,81.5,7.4,Good,3,Bachelor,Average,9,No,77.9,High,5.6000000000000005,Moderate (2-4h),7-8h
S1160,23,Male,3.6,3.0,2.0,No,93.9,5.1,Fair,0,Master,Average,5,No,65.2,Average,5.0,Moderate (2-4h),5-6h
S1161,17,Other,4.3,3.4,0.8,No,73.8,6.6,Good,6,High School,Average,7,No,76.8,High,4.2,High (4-6h),6-7h
S1162,24,Female,3.4,3.0,0.1,No,77.3,6.8,Fair,5,Master,Average,7,No,83.8,High,3.1,Moderate (2-4h),6-7h
S1163,20,Male,4.2,4.5,2.1,No,85.7,5.6,Poor,2,Master,Good,5,No,70.6,Average,6.6,High (4-6h),5-6h
S1164,18,Male,3.6,2.5,3.0,No,95.3,5.8,Poor,3,High School,Average,2,Yes,63.1,Average,5.5,Moderate (2-4h),5-6h
S1165,17,Male,0.5,3.3,2.3,No,90.0,6.8,Fair,4,High School,Good,5,No,39.0,Very Low,5.6,Low (<2h),6-7h
S1166,24,Male,2.1,1.2,1.8,No,87.5,5.1,Fair,1,High School,Average,7,No,66.7,Average,3.0,Moderate (2-4h),5-6h
S1167,23,Male,3.3,2.0,1.2,Yes,85.8,6.9,Poor,0,High School,Good,7,No,72.2,Average,3.2,Moderate (2-4h),6-7h
S1168,23,Male,1.7,3.3,0.6,No,89.0,5.4,Fair,5,Bachelor,Good,4,Yes,50.1,Low,3.9,Low (<2h),5-6h
S1169,22,Male,4.4,3.5,2.7,Yes,87.0,7.8,Fair,2,Bachelor,Good,1,No,62.4,Average,6.2,High (4-6h),7-8h
S1170,24,Male,5.8,2.1,2.8,No,74.7,9.3,Fair,1,Bachelor,Good,6,No,96.6,Excellent,4.9,High (4-6h),>8h
S1171,21,Female,5.3,2.4,0.1,No,85.5,5.5,Good,0,Bachelor,Good,3,Yes,85.8,High,2.5,High (4-6h),5-6h
S1172,19,Male,3.2,0.7,3.5,No,74.3,7.1,Good,5,High School,Good,5,No,68.3,Average,4.2,Moderate (2-4h),7-8h
S1173,20,Female,5.7,2.1,2.4,No,85.8,5.6,Fair,3,Master,Good,4,Yes,83.8,High,4.5,High (4-6h),5-6h
S1174,24,Male,3.7,3.6,3.3,Yes,80.2,7.7,Good,5,High School,Poor,2,No,69.3,Average,6.9,Moderate (2-4h),7-8h
S1175,22,Other,3.0,3.2,0.3,No,100.0,5.0,Good,3,Master,Good,7,No,65.3,Average,3.5,Moderate (2-4h),<5h
S1176,19,Male,2.6,3.1,0.3,No,84.6,7.1,Good,6,High School,Average,5,Yes,77.5,High,3.4,Moderate (2-4h),7-8h
S1177,19,Male,3.0,2.6,1.6,No,71.0,5.5,Fair,0,Master,Average,7,Yes,55.0,Low,4.2,Moderate (2-4h),5-6h
S1178,17,Other,2.9,2.5,2.4,Yes,83.7,6.3,Poor,5,Unknown,Good,9,No,65.2,Average,4.9,Moderate (2-4h),6-7h
S1179,19,Female,3.8,1.7,3.8,No,90.2,5.3,Good,2,High School,Average,4,No,58.1,Low,5.5,Moderate (2-4h),5-6h
S1180,21,Female,3.7,3.3,2.6,Yes,100.0,7.5,Fair,5,Unknown,Good,5,No,69.2,Average,5.9,Moderate (2-4h),7-8h
S1181,23,Male,3.5,3.0,1.5,Yes,79.1,5.5,Good,0,Bachelor,Average,9,No,67.4,Average,4.5,Moderate (2-4h),5-6h
S1182,22,Male,4.2,3.1,0.7,No,69.2,7.2,Good,1,Master,Poor,10,No,79.9,High,3.8,High (4-6h),7-8h
S1183,19,Female,5.3,1.9,3.2,No,93.2,6.1,Fair,1,High School,Average,4,Yes,85.7,High,5.1,High (4-6h),6-7h
S1184,17,Female,4.9,0.0,0.7,No,71.2,6.4,Fair,5,Master,Poor,5,No,96.2,Excellent,0.7,High (4-6h),6-7h
S1185,21,Female,1.3,3.8,3.6,Yes,80.6,6.7,Fair,5,Bachelor,Good,5,No,40.4,Low,7.4,Low (<2h),6-7h
